match_id,team,opponent,venue,city,toss_winner,toss_decision,innings,player_name,role,runs,balls_faced,strike_rate,fours,sixes,wickets,overs_bowled,economy,match_result,player_of_match
49,PBKS,GT,Wankhede,Delhi,RCB,Bat,1,Player_283,All-rounder,67,47,142.5531914893617,8,1,1,2.1,9.13,Loss,Yes
50,SRH,MI,Kotla,Mumbai,GT,Bat,1,Player_258,All-rounder,73,87,,2,0,2,2.7,4.84,Loss,No
51,GT,CSK,Eden Gardens,Chennai,MI,Bowl,1,Player_33,Bowler,93,88,,5,1,4,3.2,5.06,Loss,No
52,PBKS,CSK,Eden Gardens,Kolkata,LSG,Bowl,1,Player_301,Batsman,29,27,107.40740740740742,7,4,1,2.1,8.3,Loss,Yes
53,GT,RR,Eden Gardens,Mumbai,RCB,Bowl,1,Player_344,All-rounder,93,61,,5,1,0,3.9,6.77,Win,No
54,KKR,CSK,Chinnaswamy,Mumbai,LSG,Bowl,1,Player_181,Batsman,24,34,70.58823529411765,3,2,4,1.3,,Win,No
55,LSG,SRH,Kotla,Delhi,SRH,Bat,2,Player_308,Batsman,84,88,95.45454545454545,5,1,3,0.7,8.33,Loss,Yes
56,CSK,LSG,Wankhede,Mumbai,MI,Bowl,2,Player_34,All-rounder,49,31,158.06451612903226,7,2,0,0.7,7.06,Win,No
57,MI,KKR,Wankhede,Bangalore,GT,Bowl,1,Player_16,Batsman,48,42,114.28571428571428,3,4,2,2.8,8.29,Win,No
58,KKR,DC,Wankhede,Kolkata,RCB,Bowl,2,Player_46,Bowler,58,82,70.73170731707317,5,1,2,1.8,6.58,Loss,No
59,PBKS,DC,Eden Gardens,Chennai,CSK,Bat,1,Player_141,All-rounder,72,83,86.74698795180723,2,4,4,1.3,5.58,Win,No
60,KKR,MI,Kotla,Mumbai,DC,Bowl,2,Player_317,All-rounder,53,45,117.77777777777779,7,3,2,0.5,7.41,Win,Yes
61,MI,RR,Wankhede,Delhi,PBKS,Bowl,1,Player_89,All-rounder,64,84,76.19047619047619,6,3,0,2.0,9.23,Loss,Yes
62,RR,KKR,Chepauk,Delhi,CSK,Bowl,1,Player_83,All-rounder,60,39,,6,3,3,3.3,4.61,Win,Yes
63,LSG,SRH,Chinnaswamy,Chennai,LSG,Bat,2,Player_21,All-rounder,65,46,,7,2,1,0.6,6.46,Loss,No
64,MI,KKR,Kotla,Bangalore,PBKS,Bowl,2,Player_100,Bowler,64,51,125.49019607843137,0,3,1,3.7,4.78,Win,Yes
65,KKR,RR,Wankhede,Mumbai,RCB,Bat,1,Player_48,Bowler,12,17,70.58823529411765,3,2,0,1.7,6.48,Win,Yes
66,KKR,CSK,Kotla,Kolkata,LSG,Bowl,2,Player_349,All-rounder,54,67,80.59701492537313,2,4,3,2.8,7.84,Win,No
67,RR,LSG,Eden Gardens,Chennai,CSK,Bowl,2,Player_301,Batsman,18,18,100.0,4,1,3,1.2,4.25,Win,Yes
68,SRH,RCB,Chinnaswamy,Bangalore,RCB,Bowl,2,Player_105,All-rounder,34,40,85.0,0,0,1,1.4,10.47,Loss,Yes
69,PBKS,GT,Eden Gardens,Mumbai,SRH,Bat,2,Player_67,Bowler,85,65,130.76923076923077,9,2,0,3.5,5.54,Loss,No
70,RCB,MI,Kotla,Bangalore,GT,Bat,1,Player_293,All-rounder,67,64,104.6875,5,5,4,1.7,4.66,Win,Yes
71,MI,GT,Kotla,Kolkata,SRH,Bat,2,Player_279,All-rounder,70,71,98.59154929577466,3,2,3,3.6,8.7,Loss,No
72,RCB,LSG,Kotla,Chennai,CSK,Bat,2,Player_311,Batsman,40,31,129.03225806451613,1,3,1,3.6,6.33,Win,No
73,CSK,SRH,Kotla,Delhi,CSK,Bat,2,Player_247,Bowler,66,68,,2,2,1,2.0,6.35,Loss,Yes
74,GT,DC,Kotla,Delhi,PBKS,Bat,1,Player_207,Batsman,63,76,82.89473684210526,3,4,3,2.3,8.05,Win,Yes
75,DC,KKR,Chinnaswamy,Mumbai,MI,Bowl,1,Player_306,All-rounder,8,7,114.28571428571428,1,1,0,1.1,6.73,Loss,No
76,LSG,KKR,Chepauk,Chennai,DC,Bat,1,Player_110,Bowler,17,22,77.27272727272727,0,1,1,2.8,9.14,Loss,Yes
77,MI,RCB,Wankhede,Bangalore,GT,Bat,1,Player_209,Batsman,26,18,144.44444444444443,4,3,1,2.1,10.11,Win,Yes
78,PBKS,MI,Kotla,Chennai,PBKS,Bat,1,Player_61,Batsman,21,32,65.625,4,2,4,1.6,9.47,Win,Yes
79,KKR,SRH,Eden Gardens,Kolkata,SRH,Bat,1,Player_112,Batsman,81,64,126.5625,3,4,4,3.3,5.48,Loss,No
80,CSK,LSG,Chinnaswamy,Delhi,RCB,Bat,1,Player_313,All-rounder,43,71,60.56338028169014,7,1,1,2.5,5.02,Win,Yes
81,CSK,PBKS,Chepauk,Mumbai,GT,Bowl,2,Player_183,Bowler,62,65,95.38461538461539,6,4,1,1.4,9.42,Win,Yes
82,DC,KKR,Kotla,Kolkata,PBKS,Bat,2,Player_104,Batsman,95,66,143.93939393939394,7,4,1,2.7,7.29,Loss,No
83,MI,PBKS,Chinnaswamy,Delhi,SRH,Bat,2,Player_339,Bowler,92,61,150.81967213114754,0,4,1,0.8,6.84,Loss,No
84,GT,PBKS,Chinnaswamy,Chennai,PBKS,Bat,1,Player_265,Batsman,8,13,61.53846153846154,2,1,4,2.7,8.65,Loss,No
85,RCB,SRH,Wankhede,Delhi,RCB,Bowl,1,Player_203,Bowler,32,33,96.96969696969697,1,1,2,2.1,7.1,Loss,No
86,KKR,PBKS,Wankhede,Mumbai,SRH,Bowl,2,Player_167,Batsman,16,16,,4,1,3,1.1,5.96,Win,Yes
87,DC,SRH,Wankhede,Bangalore,CSK,Bat,1,Player_101,All-rounder,85,58,146.55172413793102,4,3,0,1.5,9.98,Win,Yes
88,SRH,KKR,Chepauk,Delhi,LSG,Bat,1,Player_248,Bowler,42,60,70.0,2,0,2,1.3,10.14,Win,No
89,LSG,GT,Chepauk,Kolkata,PBKS,Bowl,2,Player_87,Bowler,48,34,141.1764705882353,3,4,1,0.8,9.33,Loss,Yes
90,KKR,CSK,Wankhede,Mumbai,SRH,Bat,2,Player_196,Bowler,44,28,157.14285714285714,7,1,4,3.0,9.58,Win,Yes
91,RR,DC,Chinnaswamy,Kolkata,LSG,Bat,1,Player_198,Bowler,49,48,102.08333333333333,2,5,1,1.4,,Win,No
92,SRH,RCB,Kotla,Bangalore,LSG,Bat,1,Player_239,All-rounder,26,25,104.0,6,4,4,0.9,,Win,No
93,DC,PBKS,Chinnaswamy,Chennai,DC,Bowl,1,Player_42,Bowler,15,21,71.42857142857143,3,2,1,2.6,6.29,Loss,No
94,MI,GT,Chinnaswamy,Bangalore,LSG,Bat,2,Player_245,All-rounder,110,74,148.64864864864865,2,1,4,1.2,5.24,Win,No
95,PBKS,SRH,Chepauk,Bangalore,RCB,Bowl,1,Player_280,Bowler,30,47,63.829787234042556,6,1,0,2.3,,Win,Yes
96,PBKS,RR,Chepauk,Delhi,LSG,Bat,1,Player_36,Bowler,81,56,144.64285714285714,1,3,3,3.8,7.53,Win,No
97,GT,PBKS,Kotla,Bangalore,DC,Bowl,2,Player_336,Batsman,89,72,123.61111111111111,4,5,4,3.0,8.59,Win,No
98,KKR,RR,Chepauk,Bangalore,RR,Bat,2,Player_225,All-rounder,71,65,109.23076923076923,0,5,0,0.5,8.23,Win,Yes
99,RR,KKR,Wankhede,Chennai,PBKS,Bat,1,Player_281,Batsman,64,56,114.28571428571428,5,3,0,2.1,8.03,Loss,No
100,RCB,SRH,Kotla,Delhi,MI,Bat,1,Player_291,Batsman,47,43,109.30232558139534,1,2,3,2.6,4.87,Win,Yes
101,MI,RCB,Eden Gardens,Mumbai,RCB,Bat,1,Player_150,Batsman,85,66,128.78787878787878,9,4,4,1.7,5.22,Loss,Yes
102,SRH,MI,Chinnaswamy,Bangalore,DC,Bowl,2,Player_69,Batsman,91,63,144.44444444444443,0,3,0,4.0,9.3,Win,No
103,RR,DC,Chepauk,Delhi,CSK,Bat,2,Player_62,Batsman,56,86,65.11627906976744,5,0,4,3.6,6.82,Loss,Yes
104,DC,GT,Chinnaswamy,Delhi,MI,Bat,2,Player_197,Bowler,18,19,,3,0,1,3.2,10.53,Loss,Yes
105,KKR,RCB,Chepauk,Kolkata,PBKS,Bat,1,Player_258,Bowler,43,63,68.25396825396825,0,3,0,3.0,6.51,Loss,No
106,CSK,PBKS,Kotla,Delhi,RR,Bat,1,Player_39,Bowler,14,19,73.68421052631578,3,2,0,0.5,10.66,Win,Yes
107,DC,RR,Chepauk,Kolkata,MI,Bowl,1,Player_90,Bowler,8,13,61.53846153846154,2,1,1,3.6,6.82,Loss,Yes
108,CSK,SRH,Wankhede,Chennai,KKR,Bowl,2,Player_29,All-rounder,81,65,124.61538461538461,2,5,4,0.6,6.38,Loss,No
109,MI,GT,Wankhede,Delhi,MI,Bowl,1,Player_186,Batsman,39,33,118.18181818181819,0,1,4,1.5,8.08,Win,Yes
110,KKR,PBKS,Eden Gardens,Mumbai,GT,Bowl,2,Player_40,All-rounder,20,15,133.33333333333331,5,3,3,1.5,9.65,Win,No
111,PBKS,KKR,Kotla,Bangalore,MI,Bat,2,Player_25,All-rounder,7,6,116.66666666666667,1,1,0,2.5,7.65,Loss,Yes
112,RR,KKR,Kotla,Chennai,RR,Bat,1,Player_63,All-rounder,97,84,115.47619047619047,3,3,0,3.5,6.86,Win,No
113,GT,LSG,Chinnaswamy,Bangalore,SRH,Bat,1,Player_320,Batsman,90,76,118.42105263157893,9,0,1,1.6,6.24,Loss,Yes
114,CSK,MI,Kotla,Mumbai,RR,Bowl,1,Player_46,All-rounder,33,51,64.70588235294117,3,3,2,2.3,4.6,Win,Yes
115,LSG,RR,Chinnaswamy,Chennai,CSK,Bowl,2,Player_308,All-rounder,18,26,69.23076923076923,4,3,2,2.1,6.77,Loss,No
116,PBKS,MI,Chinnaswamy,Chennai,GT,Bowl,2,Player_73,All-rounder,17,16,106.25,4,1,3,3.9,6.69,Win,No
117,DC,MI,Wankhede,Bangalore,KKR,Bat,1,Player_225,Bowler,78,57,136.8421052631579,6,4,3,2.4,8.75,Win,No
118,GT,SRH,Eden Gardens,Kolkata,RCB,Bowl,1,Player_179,Batsman,9,11,81.81818181818183,2,1,2,1.2,10.12,Win,Yes
119,MI,RR,Chepauk,Mumbai,RCB,Bowl,2,Player_26,All-rounder,20,13,153.84615384615387,3,2,3,2.8,5.27,Loss,Yes
120,MI,CSK,Chinnaswamy,Kolkata,LSG,Bat,1,Player_152,Bowler,24,21,114.28571428571428,1,2,2,1.4,9.38,Win,Yes
121,CSK,DC,Chinnaswamy,Kolkata,KKR,Bat,1,Player_305,All-rounder,73,62,117.74193548387098,7,0,2,3.1,9.56,Loss,No
122,RR,MI,Chinnaswamy,Chennai,SRH,Bowl,2,Player_236,Bowler,52,38,136.8421052631579,2,5,4,2.6,6.73,Loss,No
123,RCB,SRH,Chinnaswamy,Delhi,SRH,Bowl,2,Player_333,All-rounder,33,39,84.61538461538461,0,5,1,3.9,9.34,Win,No
124,RR,DC,Eden Gardens,Kolkata,CSK,Bat,2,Player_4,All-rounder,74,53,139.62264150943395,8,4,3,3.7,6.33,Win,No
125,MI,RCB,Eden Gardens,Mumbai,DC,Bowl,2,Player_165,Bowler,75,57,131.57894736842107,9,1,2,4.0,5.54,Win,Yes
126,RCB,RR,Chinnaswamy,Mumbai,CSK,Bat,1,Player_268,Bowler,29,44,65.9090909090909,7,1,2,2.1,6.31,Win,Yes
127,LSG,SRH,Chepauk,Bangalore,LSG,Bowl,1,Player_316,Batsman,75,59,127.11864406779661,5,2,0,3.4,10.78,Loss,Yes
128,GT,CSK,Wankhede,Mumbai,CSK,Bat,2,Player_146,All-rounder,100,83,120.48192771084338,2,0,4,0.5,4.83,Loss,No
129,MI,KKR,Kotla,Delhi,MI,Bowl,1,Player_95,Batsman,18,22,81.81818181818183,4,2,4,1.3,6.43,Loss,No
130,RR,SRH,Chepauk,Bangalore,MI,Bowl,2,Player_282,Bowler,25,31,80.64516129032258,1,4,2,1.0,7.92,Win,Yes
131,MI,CSK,Chinnaswamy,Kolkata,LSG,Bat,1,Player_256,Bowler,11,9,122.22222222222223,0,1,4,1.8,8.24,Win,Yes
132,LSG,DC,Wankhede,Chennai,RCB,Bat,1,Player_228,All-rounder,64,71,90.14084507042254,2,4,3,2.7,5.61,Win,No
133,GT,DC,Kotla,Kolkata,SRH,Bat,1,Player_322,Batsman,75,63,119.04761904761905,8,2,4,0.9,9.29,Win,Yes
134,KKR,SRH,Eden Gardens,Bangalore,SRH,Bat,2,Player_137,Batsman,76,82,92.6829268292683,6,3,1,1.0,7.91,Win,Yes
135,RR,DC,Chinnaswamy,Chennai,PBKS,Bowl,1,Player_45,Batsman,51,40,127.49999999999999,6,3,4,2.2,9.39,Win,No
136,MI,RR,Wankhede,Delhi,MI,Bowl,1,Player_20,All-rounder,19,15,126.66666666666666,4,3,3,2.8,7.71,Win,No
137,GT,RR,Chinnaswamy,Bangalore,PBKS,Bat,1,Player_324,Bowler,59,72,81.94444444444444,9,3,2,1.3,7.14,Win,No
138,CSK,RR,Eden Gardens,Mumbai,LSG,Bowl,2,Player_111,Bowler,42,64,65.625,8,4,2,3.9,4.44,Loss,No
139,RR,CSK,Wankhede,Kolkata,SRH,Bowl,2,Player_92,Batsman,53,51,103.921568627451,6,4,1,2.1,10.14,Win,Yes
140,LSG,PBKS,Wankhede,Delhi,GT,Bowl,1,Player_48,Batsman,44,35,125.71428571428571,1,0,2,3.1,7.95,Loss,Yes
141,LSG,PBKS,Kotla,Bangalore,GT,Bat,2,Player_100,All-rounder,98,72,136.11111111111111,2,0,0,1.4,8.56,Win,Yes
142,LSG,DC,Chepauk,Kolkata,RCB,Bowl,2,Player_196,Bowler,97,82,118.29268292682926,4,0,0,3.0,7.92,Win,Yes
143,KKR,MI,Eden Gardens,Chennai,PBKS,Bowl,2,Player_221,Batsman,93,79,117.72151898734178,2,5,0,0.8,7.63,Loss,No
144,DC,SRH,Chinnaswamy,Chennai,RCB,Bat,2,Player_288,Bowler,53,37,143.24324324324326,8,3,0,2.7,,Loss,Yes
145,SRH,KKR,Wankhede,Chennai,KKR,Bat,1,Player_302,All-rounder,60,61,98.36065573770492,9,4,1,3.0,9.66,Loss,No
146,GT,SRH,Kotla,Delhi,SRH,Bat,1,Player_197,Bowler,127,83,153.0120481927711,2,1,2,0.5,6.59,Win,No
147,LSG,SRH,Wankhede,Kolkata,SRH,Bat,2,Player_26,All-rounder,31,40,77.5,1,3,1,2.0,9.5,Win,No
148,LSG,RR,Wankhede,Kolkata,KKR,Bowl,2,Player_245,All-rounder,90,77,116.88311688311688,1,5,0,2.8,6.47,Loss,No
149,SRH,RR,Eden Gardens,Kolkata,LSG,Bowl,1,Player_180,Bowler,56,83,67.46987951807229,8,4,1,1.1,8.4,Win,Yes
150,DC,KKR,Chinnaswamy,Chennai,GT,Bat,2,Player_98,Bowler,43,46,93.47826086956522,4,0,0,2.8,5.91,Win,Yes
151,LSG,RCB,Eden Gardens,Mumbai,PBKS,Bat,1,Player_295,Batsman,30,31,96.7741935483871,5,2,2,3.8,7.34,Loss,No
152,GT,SRH,Eden Gardens,Bangalore,DC,Bowl,2,Player_149,All-rounder,96,86,111.62790697674419,2,0,3,1.1,4.12,Win,No
153,RR,RCB,Chepauk,Kolkata,SRH,Bat,1,Player_85,All-rounder,66,59,111.86440677966101,2,2,2,1.4,4.75,Loss,No
154,PBKS,SRH,Chinnaswamy,Delhi,KKR,Bat,1,Player_213,Batsman,93,67,138.80597014925374,6,5,1,2.0,8.99,Loss,No
155,LSG,DC,Chepauk,Mumbai,DC,Bat,1,Player_23,All-rounder,132,86,153.48837209302326,0,3,1,2.4,6.74,Win,Yes
156,LSG,KKR,Chinnaswamy,Delhi,RCB,Bowl,1,Player_300,Batsman,45,52,86.53846153846155,4,1,2,2.0,8.98,Win,No
157,MI,GT,Chepauk,Bangalore,RCB,Bat,2,Player_308,All-rounder,14,11,127.27272727272727,2,0,2,2.9,6.41,Win,No
158,RCB,MI,Chinnaswamy,Delhi,LSG,Bowl,2,Player_68,All-rounder,45,68,66.17647058823529,4,3,0,1.1,10.8,Win,No
159,DC,RCB,Chinnaswamy,Mumbai,RCB,Bat,1,Player_175,Bowler,9,10,90.0,1,1,2,1.2,6.47,Win,No
160,RR,KKR,Chinnaswamy,Kolkata,SRH,Bowl,2,Player_85,Batsman,51,33,154.54545454545453,1,2,0,1.6,10.74,Win,Yes
161,MI,CSK,Kotla,Mumbai,MI,Bat,1,Player_56,Batsman,10,7,142.85714285714286,2,1,3,3.9,6.86,Win,No
162,GT,KKR,Chepauk,Delhi,DC,Bat,2,Player_180,Batsman,8,6,133.33333333333331,2,1,0,3.7,8.2,Loss,Yes
163,SRH,DC,Wankhede,Bangalore,DC,Bowl,1,Player_233,Batsman,36,40,90.0,0,4,3,3.1,5.19,Loss,No
164,PBKS,MI,Chinnaswamy,Kolkata,KKR,Bat,2,Player_169,Bowler,68,79,86.07594936708861,5,1,0,2.7,8.26,Win,No
165,GT,SRH,Kotla,Kolkata,RR,Bat,1,Player_16,All-rounder,41,62,66.12903225806451,4,0,0,1.2,10.73,Win,Yes
166,PBKS,GT,Eden Gardens,Kolkata,DC,Bat,1,Player_181,Batsman,13,17,76.47058823529412,3,2,0,2.9,8.34,Win,Yes
167,DC,CSK,Chinnaswamy,Chennai,CSK,Bowl,2,Player_71,Bowler,44,42,104.76190476190477,4,5,0,2.5,5.22,Loss,Yes
168,CSK,RCB,Wankhede,Chennai,MI,Bowl,1,Player_256,Bowler,40,46,86.95652173913044,4,2,2,2.5,6.29,Win,No
169,KKR,RCB,Chinnaswamy,Mumbai,MI,Bat,1,Player_162,All-rounder,39,41,95.1219512195122,9,5,4,1.2,8.69,Loss,No
170,CSK,DC,Chepauk,Bangalore,RCB,Bat,1,Player_41,Batsman,6,10,60.0,1,0,1,2.1,9.89,Win,Yes
171,CSK,RR,Eden Gardens,Mumbai,CSK,Bat,1,Player_245,Bowler,107,69,155.07246376811594,9,0,3,1.6,7.68,Win,No
172,RR,LSG,Chinnaswamy,Delhi,PBKS,Bowl,2,Player_200,Bowler,11,17,64.70588235294117,1,1,0,0.6,8.07,Win,No
173,MI,RR,Chepauk,Mumbai,GT,Bowl,2,Player_121,All-rounder,44,47,93.61702127659575,9,5,0,1.9,10.89,Win,Yes
174,KKR,RCB,Chinnaswamy,Bangalore,RCB,Bowl,2,Player_126,Batsman,118,79,149.36708860759492,7,2,4,2.1,5.17,Win,No
175,CSK,PBKS,Wankhede,Kolkata,MI,Bat,2,Player_311,Bowler,4,7,57.14285714285714,1,0,1,2.0,5.39,Loss,No
176,PBKS,CSK,Chinnaswamy,Kolkata,RCB,Bat,1,Player_209,All-rounder,105,73,143.83561643835617,2,3,2,1.3,8.84,Loss,No
177,CSK,RR,Kotla,Delhi,GT,Bowl,1,Player_254,Batsman,15,15,100.0,3,2,1,3.7,5.76,Loss,No
178,PBKS,RR,Chepauk,Delhi,GT,Bowl,1,Player_217,All-rounder,65,52,125.0,6,1,4,1.2,7.05,Loss,Yes
179,SRH,RR,Wankhede,Delhi,CSK,Bat,1,Player_98,Bowler,66,56,117.85714285714286,5,5,4,1.1,9.36,Win,No
180,PBKS,LSG,Chinnaswamy,Chennai,SRH,Bat,2,Player_112,All-rounder,19,28,67.85714285714286,4,3,0,1.6,7.18,Loss,No
181,RR,MI,Wankhede,Mumbai,GT,Bowl,2,Player_349,All-rounder,15,15,,3,2,3,1.6,4.65,Win,No
182,GT,CSK,Kotla,Chennai,RCB,Bat,1,Player_347,All-rounder,42,53,79.24528301886792,0,2,2,2.2,6.32,Loss,No
183,CSK,PBKS,Wankhede,Mumbai,KKR,Bat,2,Player_227,Bowler,79,79,100.0,4,0,0,2.9,8.67,Win,Yes
184,MI,DC,Chepauk,Kolkata,DC,Bowl,2,Player_347,Batsman,52,75,69.33333333333334,4,1,1,2.4,5.37,Loss,No
185,PBKS,SRH,Kotla,Delhi,DC,Bat,2,Player_231,Batsman,84,59,142.3728813559322,5,5,2,3.8,9.89,Win,No
186,RR,MI,Chepauk,Delhi,RCB,Bat,2,Player_2,All-rounder,56,81,69.1358024691358,2,2,1,1.7,6.58,Loss,Yes
187,DC,SRH,Wankhede,Bangalore,CSK,Bat,2,Player_213,All-rounder,35,46,76.08695652173914,8,0,2,0.9,6.04,Win,Yes
